State,year,total_nom
New South Wales,2012,45970
Victoria,2012,39080
Queensland,2012,25930
South Australia,2012,7390
Western Australia,2012,16890
Tasmania,2012,1290
Northern Territory,2012,1230
Australian Capital Territory,2012,1020
New South Wales,2013,50810
Victoria,2013,40170
Queensland,2013,29800
South Australia,2013,10520
Western Australia,2013,22570
Tasmania,2013,1230
Northern Territory,2013,1120
Australian Capital Territory,2013,970
New South Wales,2014,62030
Victoria,2014,52350
Queensland,2014,38390
South Australia,2014,13420
Western Australia,2014,28070
Tasmania,2014,1390
Northern Territory,2014,340
Australian Capital Territory,2014,1500
New South Wales,2015,96430
Victoria,2015,83230
Queensland,2015,62840
South Australia,2015,17620
Western Australia,2015,48190
Tasmania,2015,2090
Northern Territory,2015,1970
Australian Capital Territory,2015,3330
New South Wales,2016,70160
Victoria,2016,72090
Queensland,2016,47330
South Australia,2016,17170
Western Australia,2016,32840
Tasmania,2016,1930
Northern Territory,2016,1690
Australian Capital Territory,2016,3670
New South Wales,2017,50040
Victoria,2017,43210
Queensland,2017,31670
South Australia,2017,10890
Western Australia,2017,31900
Tasmania,2017,1230
Northern Territory,2017,1090
Australian Capital Territory,2017,2000
New South Wales,2018,67580
Victoria,2018,58500
Queensland,2018,33460
South Australia,2018,12130
Western Australia,2018,29060
Tasmania,2018,1790
Northern Territory,2018,3190
Australian Capital Territory,2018,2650
New South Wales,2019,68350
Victoria,2019,58390
Queensland,2019,23030
South Australia,2019,10970
Western Australia,2019,15510
Tasmania,2019,1730
Northern Territory,2019,1140
Australian Capital Territory,2019,3210
New South Wales,2020,11510
Victoria,2020,8940
Queensland,2020,2000
South Australia,2020,4410
Western Australia,2020,5720
Tasmania,2020,300
Northern Territory,2020,810
Australian Capital Territory,2020,2500
